England and Wales Code,England and Wales,Sex (2 categories) Code,Sex (2 categories),Age (91 categories) Code,Age (91 categories),Observation
K04000001,England and Wales,2,Male,65,Aged 65 years,299067
K04000001,England and Wales,2,Male,66,Aged 66 years,289582
K04000001,England and Wales,2,Male,67,Aged 67 years,289362
K04000001,England and Wales,2,Male,68,Aged 68 years,278127
K04000001,England and Wales,2,Male,69,Aged 69 years,272042
K04000001,England and Wales,2,Male,70,Aged 70 years,270932
K04000001,England and Wales,2,Male,71,Aged 71 years,274216
K04000001,England and Wales,2,Male,72,Aged 72 years,278582
K04000001,England and Wales,2,Male,73,Aged 73 years,300163
K04000001,England and Wales,2,Male,74,Aged 74 years,295616
K04000001,England and Wales,2,Male,75,Aged 75 years,221123
K04000001,England and Wales,2,Male,76,Aged 76 years,229938
K04000001,England and Wales,2,Male,77,Aged 77 years,208180
K04000001,England and Wales,2,Male,78,Aged 78 years,190481
K04000001,England and Wales,2,Male,79,Aged 79 years,159181
K04000001,England and Wales,2,Male,80,Aged 80 years,146846
K04000001,England and Wales,2,Male,81,Aged 81 years,146401
K04000001,England and Wales,2,Male,82,Aged 82 years,136733
K04000001,England and Wales,2,Male,83,Aged 83 years,124811
K04000001,England and Wales,2,Male,84,Aged 84 years,112246
K04000001,England and Wales,2,Male,85,Aged 85 years,97914
K04000001,England and Wales,2,Male,86,Aged 86 years,85813
K04000001,England and Wales,2,Male,87,Aged 87 years,72740
K04000001,England and Wales,2,Male,88,Aged 88 years,63092
K04000001,England and Wales,2,Male,89,Aged 89 years,53276
K04000001,England and Wales,2,Male,90,Aged 90 years and over,170171
